elapsed_sec,file,result
60.0,shot-01-at0060s.ppm,True
180.3,shot-02-at0180s.ppm,True
300.6,shot-03-at0300s.ppm,True
420.8,shot-04-at0420s.ppm,True
540.9,shot-05-at0540s.ppm,True
661.1,shot-06-at0661s.ppm,True
781.1,shot-07-at0781s.ppm,True
901.3,shot-08-at0901s.ppm,True
1021.5,shot-09-at1021s.ppm,True
1141.6,shot-10-at1141s.ppm,True
1261.8,shot-11-at1261s.ppm,True
1382.1,shot-12-at1382s.ppm,True
1502.2,shot-13-at1502s.ppm,True
1622.5,shot-14-at1622s.ppm,True
1742.6,shot-15-at1742s.ppm,True
1862.7,shot-16-at1862s.ppm,True
1983.0,shot-17-at1982s.ppm,True
2103.1,shot-18-at2103s.ppm,True
2223.3,shot-19-at2223s.ppm,True
2343.6,shot-20-at2343s.ppm,True
2402.2,shot-21-final.ppm,True
